"age","quantile5","quantile25","quantile50","quantile75","quantile95"
20,-0.0499999999999972,-0.019999999999996,0.019999999999996,0.0499999999999972,0.0599999999999881
21,-0.039999999999992,-0.00999999999999091,0.019999999999996,0.039999999999992,0.0499999999999972
22,-0.039999999999992,-0.00999999999999091,0.0100000000000051,0.039999999999992,0.0499999999999972
23,-0.0299999999999869,-0.00999999999999091,0.0100000000000051,0.0300000000000011,0.039999999999992
24,-0.0299999999999869,-0.00999999999999091,0.0100000000000051,0.0300000000000011,0.0299999999999869
25,-0.019999999999996,-0.00999999999999091,0.0100000000000051,0.019999999999996,0.019999999999996
26,-0.00999999999999091,-0.00999999999999091,0.0100000000000051,0.019999999999996,0.019999999999996
27,-0.00999999999999091,-0.00999999999999091,0.0100000000000051,0.00999999999999091,0.00999999999999091
28,0,0,0,0.00999999999999091,0
29,0,0,0,0.00999999999999091,0
30,0,0,0,0,0
31,0.0100000000000051,0,0,0,0
32,0.0100000000000051,0,0,0,-0.0100000000000051
33,0.0100000000000051,0,0,0,-0.0100000000000051
34,0.0100000000000051,0,0.0100000000000051,0.00999999999999091,0
35,0.0100000000000051,0.0100000000000051,0.0100000000000051,0.00999999999999091,0
36,0.0100000000000051,0.0100000000000051,0.0100000000000051,0.00999999999999091,0
37,0.0100000000000051,0.0100000000000051,0.0100000000000051,0.019999999999996,0.00999999999999091
38,0.0100000000000051,0.0100000000000051,0.0100000000000051,0.019999999999996,0.00999999999999091
39,0.0100000000000051,0.0100000000000051,0.0100000000000051,0.019999999999996,0.019999999999996
40,0.0100000000000051,0.0100000000000051,0.0100000000000051,0.019999999999996,0.019999999999996
41,0,0.0100000000000051,0.0100000000000051,0.0300000000000011,0.019999999999996
42,0,0.0100000000000051,0.0100000000000051,0.0300000000000011,0.019999999999996
43,-0.00999999999999091,0,0.0100000000000051,0.019999999999996,0.019999999999996
44,-0.00999999999999091,0,0,0.019999999999996,0.00999999999999091
45,-0.019999999999996,0,0,0.00999999999999091,0.00999999999999091
46,-0.0299999999999869,-0.00999999999999091,-0.0100000000000051,0.00999999999999091,0
47,-0.039999999999992,-0.00999999999999091,-0.019999999999996,0,-0.0100000000000051
48,-0.0499999999999972,-0.019999999999996,-0.0300000000000011,-0.0100000000000051,-0.0200000000000102
49,-0.0599999999999881,-0.019999999999996,-0.0400000000000063,-0.019999999999996,-0.0300000000000011
50,-0.0699999999999932,-0.0300000000000011,-0.0400000000000063,-0.0300000000000011,-0.0400000000000063
51,-0.0799999999999983,-0.0499999999999972,-0.0499999999999972,-0.0400000000000063,-0.0500000000000114
52,-0.0899999999999892,-0.0599999999999881,-0.0600000000000023,-0.0499999999999972,-0.0600000000000023
53,-0.0999999999999943,-0.0699999999999932,-0.0699999999999932,-0.0600000000000023,-0.0700000000000074
54,-0.11999999999999,-0.0899999999999892,-0.0799999999999983,-0.0700000000000074,-0.0800000000000125
55,-0.129999999999995,-0.0999999999999943,-0.0900000000000034,-0.0700000000000074,-0.0800000000000125
56,-0.139999999999986,-0.109999999999999,-0.0900000000000034,-0.0799999999999983,-0.0900000000000034
57,-0.149999999999991,-0.11999999999999,-0.0999999999999943,-0.0900000000000034,-0.0900000000000034
58,-0.149999999999991,-0.11999999999999,-0.0999999999999943,-0.0900000000000034,-0.100000000000009
59,-0.159999999999997,-0.129999999999995,-0.109999999999999,-0.100000000000009,-0.100000000000009
60,-0.169999999999987,-0.129999999999995,-0.109999999999999,-0.100000000000009,-0.100000000000009
61,-0.169999999999987,-0.129999999999995,-0.120000000000005,-0.100000000000009,-0.100000000000009
62,-0.179999999999993,-0.129999999999995,-0.120000000000005,-0.109999999999999,-0.100000000000009
63,-0.189999999999998,-0.140000000000001,-0.129999999999995,-0.109999999999999,-0.100000000000009
64,-0.189999999999998,-0.140000000000001,-0.129999999999995,-0.120000000000005,-0.109999999999999
65,-0.209999999999994,-0.149999999999991,-0.140000000000001,-0.120000000000005,-0.109999999999999
66,-0.219999999999999,-0.159999999999997,-0.150000000000006,-0.129999999999995,-0.109999999999999
67,-0.22999999999999,-0.169999999999987,-0.159999999999997,-0.140000000000001,-0.120000000000005
68,-0.25,-0.179999999999993,-0.159999999999997,-0.140000000000001,-0.120000000000005
69,-0.269999999999996,-0.199999999999989,-0.170000000000002,-0.150000000000006,-0.120000000000005
70,-0.279999999999987,-0.209999999999994,-0.180000000000007,-0.159999999999997,-0.13000000000001
71,-0.299999999999997,-0.219999999999999,-0.189999999999998,-0.170000000000002,-0.13000000000001
72,-0.309999999999988,-0.22999999999999,-0.200000000000003,-0.180000000000007,-0.140000000000001
73,-0.329999999999998,-0.239999999999995,-0.209999999999994,-0.180000000000007,-0.140000000000001
74,-0.339999999999989,-0.239999999999995,-0.219999999999999,-0.189999999999998,-0.150000000000006
75,-0.359999999999999,-0.25,-0.230000000000004,-0.200000000000003,-0.150000000000006
76,-0.36999999999999,-0.25,-0.239999999999995,-0.210000000000008,-0.160000000000011
77,-0.379999999999995,-0.259999999999991,-0.25,-0.210000000000008,-0.160000000000011
78,-0.399999999999991,-0.259999999999991,-0.260000000000005,-0.219999999999999,-0.160000000000011
79,-0.409999999999997,-0.269999999999996,-0.269999999999996,-0.230000000000004,-0.170000000000002
80,-0.419999999999987,-0.269999999999996,-0.280000000000001,-0.230000000000004,-0.170000000000002
