"gender","quantile5","quantile25","quantile50","quantile75","quantile95"
"male",0,0,0,0,0
"female.pre",0.180000000000007,0.150000000000006,0.120000000000005,0.140000000000001,0.169999999999987
"female.post",0.150000000000006,0.100000000000009,0.0999999999999943,0.109999999999999,0.140000000000001
