"gender","quantile1","quantile2","quantile3","quantile4","quantile5","quantile6","quantile7","quantile8","quantile9","quantile10","quantile11","quantile12","quantile13","quantile14","quantile15","quantile16","quantile17","quantile18","quantile19","quantile20","quantile21","quantile22","quantile23","quantile24","quantile25","quantile26","quantile27","quantile28","quantile29","quantile30","quantile31","quantile32","quantile33","quantile34","quantile35","quantile36","quantile37","quantile38","quantile39","quantile40","quantile41","quantile42","quantile43","quantile44","quantile45","quantile46","quantile47","quantile48","quantile49","quantile50","quantile51","quantile52","quantile53","quantile54","quantile55","quantile56","quantile57","quantile58","quantile59","quantile60","quantile61","quantile62","quantile63","quantile64","quantile65","quantile66","quantile67","quantile68","quantile69","quantile70","quantile71","quantile72","quantile73","quantile74","quantile75","quantile76","quantile77","quantile78","quantile79","quantile80","quantile81","quantile82","quantile83","quantile84","quantile85","quantile86","quantile87","quantile88","quantile89","quantile90","quantile91","quantile92","quantile93","quantile94","quantile95","quantile96","quantile97","quantile98","quantile99"
"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"female.pre",0.27000000000001,0.22999999999999,0.200000000000003,0.190000000000012,0.170000000000002,0.149999999999991,0.170000000000002,0.169999999999987,0.180000000000007,0.149999999999991,0.170000000000002,0.160000000000011,0.149999999999991,0.160000000000011,0.150000000000006,0.140000000000001,0.150000000000006,0.140000000000001,0.150000000000006,0.159999999999997,0.140000000000001,0.129999999999995,0.129999999999995,0.140000000000001,0.150000000000006,0.140000000000001,0.129999999999995,0.11999999999999,0.129999999999995,0.140000000000001,0.140000000000001,0.129999999999995,0.120000000000005,0.120000000000005,0.109999999999999,0.120000000000005,0.120000000000005,0.129999999999995,0.13000000000001,0.120000000000005,0.109999999999999,0.120000000000005,0.120000000000005,0.120000000000005,0.120000000000005,0.129999999999995,0.13000000000001,0.129999999999995,0.129999999999995,0.120000000000005,0.11999999999999,0.120000000000005,0.11999999999999,0.13000000000001,0.129999999999995,0.129999999999995,0.129999999999995,0.129999999999995,0.120000000000005,0.129999999999995,0.140000000000001,0.140000000000001,0.140000000000001,0.140000000000001,0.140000000000001,0.139999999999986,0.140000000000001,0.129999999999995,0.140000000000001,0.140000000000001,0.140000000000001,0.140000000000001,0.140000000000001,0.140000000000001,0.140000000000001,0.140000000000001,0.140000000000001,0.140000000000001,0.140000000000001,0.140000000000001,0.140000000000001,0.139999999999986,0.129999999999995,0.129999999999995,0.140000000000001,0.140000000000001,0.140000000000001,0.13000000000001,0.140000000000001,0.149999999999991,0.149999999999991,0.159999999999997,0.160000000000011,0.170000000000002,0.179999999999993,0.180000000000007,0.189999999999998,0.189999999999998,0.189999999999998
"female.post",0.160000000000011,0.159999999999997,0.159999999999997,0.160000000000011,0.140000000000001,0.129999999999995,0.140000000000001,0.129999999999995,0.140000000000001,0.120000000000005,0.120000000000005,0.13000000000001,0.129999999999995,0.120000000000005,0.120000000000005,0.120000000000005,0.120000000000005,0.120000000000005,0.120000000000005,0.109999999999999,0.109999999999999,0.109999999999999,0.0999999999999943,0.100000000000009,0.100000000000009,0.109999999999999,0.109999999999999,0.0999999999999943,0.100000000000009,0.100000000000009,0.0999999999999943,0.0999999999999943,0.100000000000009,0.0999999999999943,0.0900000000000034,0.0999999999999943,0.0900000000000034,0.0999999999999943,0.0900000000000034,0.0999999999999943,0.0900000000000034,0.0999999999999943,0.100000000000009,0.0999999999999943,0.0900000000000034,0.0999999999999943,0.100000000000009,0.0999999999999943,0.0999999999999943,0.0900000000000034,0.0999999999999943,0.0999999999999943,0.0999999999999943,0.100000000000009,0.0900000000000034,0.0999999999999943,0.100000000000009,0.0999999999999943,0.0999999999999943,0.0999999999999943,0.109999999999999,0.109999999999999,0.0999999999999943,0.100000000000009,0.109999999999999,0.109999999999999,0.0999999999999943,0.0999999999999943,0.109999999999999,0.109999999999999,0.109999999999999,0.109999999999999,0.109999999999999,0.100000000000009,0.109999999999999,0.100000000000009,0.109999999999999,0.109999999999999,0.109999999999999,0.109999999999999,0.109999999999999,0.109999999999999,0.109999999999999,0.109999999999999,0.109999999999999,0.109999999999999,0.109999999999999,0.110000000000014,0.109999999999999,0.109999999999999,0.109999999999999,0.11999999999999,0.120000000000005,0.13000000000001,0.140000000000001,0.150000000000006,0.170000000000002,0.180000000000007,0.209999999999994
