"height","quantile5","quantile25","quantile50","quantile75","quantile95"
1.38,-0.019999999999996,0.0300000000000011,0.0900000000000034,0.109999999999999,0.0799999999999983
1.39,-0.019999999999996,0.0300000000000011,0.0900000000000034,0.0999999999999943,0.0799999999999983
1.4,-0.00999999999999091,0.0300000000000011,0.0900000000000034,0.0999999999999943,0.0799999999999983
1.41,-0.00999999999999091,0.0300000000000011,0.0799999999999983,0.0999999999999943,0.0899999999999892
1.42,-0.00999999999999091,0.0300000000000011,0.0799999999999983,0.0999999999999943,0.0899999999999892
1.43,0,0.0300000000000011,0.0799999999999983,0.0999999999999943,0.0899999999999892
1.44,0,0.0300000000000011,0.0799999999999983,0.0999999999999943,0.0899999999999892
1.45,0,0.0300000000000011,0.0799999999999983,0.0999999999999943,0.0899999999999892
1.46,0.0100000000000051,0.0400000000000063,0.0799999999999983,0.0999999999999943,0.0899999999999892
1.47,0.0100000000000051,0.0400000000000063,0.0699999999999932,0.0900000000000034,0.0899999999999892
1.48,0.0100000000000051,0.0400000000000063,0.0699999999999932,0.0900000000000034,0.0999999999999943
1.49,0.0100000000000051,0.0400000000000063,0.0699999999999932,0.0900000000000034,0.0999999999999943
1.5,0.0200000000000102,0.0400000000000063,0.0699999999999932,0.0900000000000034,0.0999999999999943
1.51,0.0200000000000102,0.0400000000000063,0.0699999999999932,0.0900000000000034,0.0999999999999943
1.52,0.0200000000000102,0.0400000000000063,0.0699999999999932,0.0799999999999983,0.0999999999999943
1.53,0.0200000000000102,0.0400000000000063,0.0600000000000023,0.0799999999999983,0.0899999999999892
1.54,0.0200000000000102,0.0400000000000063,0.0600000000000023,0.0799999999999983,0.0899999999999892
1.55,0.0200000000000102,0.0400000000000063,0.0600000000000023,0.0799999999999983,0.0899999999999892
1.56,0.0300000000000011,0.0300000000000011,0.0600000000000023,0.0799999999999983,0.0899999999999892
1.57,0.0300000000000011,0.0300000000000011,0.0499999999999972,0.0699999999999932,0.0899999999999892
1.58,0.0300000000000011,0.0300000000000011,0.0499999999999972,0.0699999999999932,0.0899999999999892
1.59,0.0300000000000011,0.0300000000000011,0.0499999999999972,0.0699999999999932,0.0799999999999983
1.6,0.0300000000000011,0.0300000000000011,0.0499999999999972,0.0600000000000023,0.0799999999999983
1.61,0.0200000000000102,0.0300000000000011,0.0499999999999972,0.0600000000000023,0.0699999999999932
1.62,0.0200000000000102,0.0300000000000011,0.0400000000000063,0.0600000000000023,0.0699999999999932
1.63,0.0200000000000102,0.0200000000000102,0.0400000000000063,0.0499999999999972,0.0599999999999881
1.64,0.0200000000000102,0.0200000000000102,0.0400000000000063,0.0499999999999972,0.0599999999999881
1.65,0.0200000000000102,0.0200000000000102,0.0400000000000063,0.0499999999999972,0.0499999999999972
1.66,0.0200000000000102,0.0200000000000102,0.0300000000000011,0.039999999999992,0.0499999999999972
1.67,0.0100000000000051,0.0200000000000102,0.0300000000000011,0.039999999999992,0.039999999999992
1.68,0.0100000000000051,0.0100000000000051,0.0300000000000011,0.039999999999992,0.039999999999992
1.69,0.0100000000000051,0.0100000000000051,0.0300000000000011,0.0300000000000011,0.0299999999999869
1.7,0.0100000000000051,0.0100000000000051,0.0300000000000011,0.0300000000000011,0.0299999999999869
1.71,0.0100000000000051,0.0100000000000051,0.019999999999996,0.0300000000000011,0.0299999999999869
1.72,0.0100000000000051,0.0100000000000051,0.019999999999996,0.0300000000000011,0.019999999999996
1.73,0.0100000000000051,0.0100000000000051,0.019999999999996,0.019999999999996,0.019999999999996
1.74,0.0100000000000051,0.0100000000000051,0.019999999999996,0.019999999999996,0.019999999999996
1.75,0.0100000000000051,0.0100000000000051,0.019999999999996,0.019999999999996,0.00999999999999091
1.76,0.0100000000000051,0.0100000000000051,0.0100000000000051,0.019999999999996,0.00999999999999091
1.77,0.0100000000000051,0,0.0100000000000051,0.00999999999999091,0.00999999999999091
1.78,0.0100000000000051,0,0.0100000000000051,0.00999999999999091,0
1.79,0.0100000000000051,0,0.0100000000000051,0.00999999999999091,0
1.8,0,0,0,0,0
1.81,0,0,0,0,-0.0100000000000051
1.82,0,0,0,0,-0.0100000000000051
1.83,0,-0.00999999999999091,-0.0100000000000051,-0.0100000000000051,-0.0100000000000051
1.84,-0.00999999999999091,-0.00999999999999091,-0.0100000000000051,-0.0100000000000051,-0.0200000000000102
1.85,-0.00999999999999091,-0.00999999999999091,-0.0100000000000051,-0.0100000000000051,-0.0200000000000102
1.86,-0.00999999999999091,-0.00999999999999091,-0.019999999999996,-0.019999999999996,-0.0200000000000102
1.87,-0.019999999999996,-0.019999999999996,-0.019999999999996,-0.019999999999996,-0.0300000000000011
1.88,-0.019999999999996,-0.019999999999996,-0.0300000000000011,-0.019999999999996,-0.0300000000000011
1.89,-0.0299999999999869,-0.019999999999996,-0.0300000000000011,-0.0300000000000011,-0.0400000000000063
1.9,-0.0299999999999869,-0.0300000000000011,-0.0300000000000011,-0.0300000000000011,-0.0400000000000063
1.91,-0.039999999999992,-0.0300000000000011,-0.0400000000000063,-0.0300000000000011,-0.0400000000000063
1.92,-0.039999999999992,-0.0300000000000011,-0.0400000000000063,-0.0400000000000063,-0.0500000000000114
1.93,-0.0499999999999972,-0.0300000000000011,-0.0499999999999972,-0.0400000000000063,-0.0500000000000114
1.94,-0.0499999999999972,-0.039999999999992,-0.0499999999999972,-0.0499999999999972,-0.0600000000000023
1.95,-0.0599999999999881,-0.039999999999992,-0.0600000000000023,-0.0499999999999972,-0.0600000000000023
