"weight","quantile5","quantile25","quantile50","quantile75","quantile95"
30,-0.109999999999999,-0.0499999999999972,-0.0400000000000063,-0.0700000000000074,-0.0200000000000102
31,-0.109999999999999,-0.0499999999999972,-0.0400000000000063,-0.0700000000000074,-0.0200000000000102
32,-0.0999999999999943,-0.0499999999999972,-0.0400000000000063,-0.0700000000000074,-0.0200000000000102
33,-0.0999999999999943,-0.039999999999992,-0.0400000000000063,-0.0700000000000074,-0.0200000000000102
34,-0.0899999999999892,-0.039999999999992,-0.0400000000000063,-0.0700000000000074,-0.0300000000000011
35,-0.0799999999999983,-0.039999999999992,-0.0400000000000063,-0.0600000000000023,-0.0300000000000011
36,-0.0799999999999983,-0.039999999999992,-0.0400000000000063,-0.0600000000000023,-0.0300000000000011
37,-0.0699999999999932,-0.039999999999992,-0.0400000000000063,-0.0600000000000023,-0.0300000000000011
38,-0.0699999999999932,-0.0300000000000011,-0.0400000000000063,-0.0600000000000023,-0.0300000000000011
39,-0.0599999999999881,-0.0300000000000011,-0.0400000000000063,-0.0600000000000023,-0.0300000000000011
40,-0.0599999999999881,-0.0300000000000011,-0.0400000000000063,-0.0600000000000023,-0.0300000000000011
41,-0.0499999999999972,-0.0300000000000011,-0.0400000000000063,-0.0600000000000023,-0.0400000000000063
42,-0.0499999999999972,-0.0300000000000011,-0.0300000000000011,-0.0600000000000023,-0.0400000000000063
43,-0.039999999999992,-0.019999999999996,-0.0300000000000011,-0.0499999999999972,-0.0400000000000063
44,-0.039999999999992,-0.019999999999996,-0.0300000000000011,-0.0499999999999972,-0.0400000000000063
45,-0.0299999999999869,-0.019999999999996,-0.0300000000000011,-0.0499999999999972,-0.0400000000000063
46,-0.0299999999999869,-0.019999999999996,-0.0300000000000011,-0.0499999999999972,-0.0400000000000063
47,-0.019999999999996,-0.019999999999996,-0.0300000000000011,-0.0499999999999972,-0.0400000000000063
48,-0.019999999999996,-0.019999999999996,-0.0300000000000011,-0.0499999999999972,-0.0400000000000063
49,-0.00999999999999091,-0.00999999999999091,-0.0300000000000011,-0.0400000000000063,-0.0400000000000063
50,-0.00999999999999091,-0.00999999999999091,-0.0300000000000011,-0.0400000000000063,-0.0400000000000063
51,-0.00999999999999091,-0.00999999999999091,-0.0300000000000011,-0.0400000000000063,-0.0400000000000063
52,0,-0.00999999999999091,-0.019999999999996,-0.0400000000000063,-0.0400000000000063
53,0,-0.00999999999999091,-0.019999999999996,-0.0400000000000063,-0.0400000000000063
54,0,-0.00999999999999091,-0.019999999999996,-0.0400000000000063,-0.0400000000000063
55,0,-0.00999999999999091,-0.019999999999996,-0.0300000000000011,-0.0400000000000063
